,metric
2019-12-07 00:00:00,52.500469053890605
2019-12-07 00:01:00,56.685360806655005
2019-12-07 00:02:00,58.306071605127286
2019-12-07 00:03:00,54.52846126029055
2019-12-07 00:04:00,56.96264157390247
2019-12-07 00:05:00,55.32843768278876
2019-12-07 00:06:00,54.35902600510946
2019-12-07 00:07:00,50.859913338863414
2019-12-07 00:08:00,51.87100833835365
2019-12-07 00:09:00,51.96000288854677
2019-12-07 00:10:00,49.63394602899475
2019-12-07 00:11:00,50.47032697624579
2019-12-07 00:12:00,47.43280989935467
2019-12-07 00:13:00,49.20036081003823
2019-12-07 00:14:00,47.87877494475266
2019-12-07 00:15:00,45.27451104655208
2019-12-07 00:16:00,43.38743924629618
2019-12-07 00:17:00,45.47613203693336
2019-12-07 00:18:00,41.54039542125783
2019-12-07 00:19:00,39.23003017415579
2019-12-07 00:20:00,43.80462998801719
2019-12-07 00:21:00,42.84987701569348
2019-12-07 00:22:00,38.496241721573575
2019-12-07 00:23:00,36.41512852349741
2019-12-07 00:24:00,38.08570404779456
2019-12-07 00:25:00,38.87416440221791
2019-12-07 00:26:00,38.44533402100295
2019-12-07 00:27:00,38.72311225029066
2019-12-07 00:28:00,35.34752388159539
2019-12-07 00:29:00,36.11135202970955
2019-12-07 00:30:00,36.44479921711061
2019-12-07 00:31:00,33.113566009549324
2019-12-07 00:32:00,34.48729538881113
2019-12-07 00:33:00,38.59957468870524
2019-12-07 00:34:00,38.50088952306836
2019-12-07 00:35:00,36.788106145064
2019-12-07 00:36:00,40.46257786939159
2019-12-07 00:37:00,35.61876634723279
2019-12-07 00:38:00,37.037201902277374
2019-12-07 00:39:00,38.08513097217015
2019-12-07 00:40:00,40.361121676655074
2019-12-07 00:41:00,41.063656526373144
2019-12-07 00:42:00,43.414629126457804
2019-12-07 00:43:00,43.207455862377
2019-12-07 00:44:00,48.06616281617729
2019-12-07 00:45:00,43.050475419360104
2019-12-07 00:46:00,45.58337980174074
2019-12-07 00:47:00,49.298348839668066
2019-12-07 00:48:00,46.356176327688985
2019-12-07 00:49:00,53.47476106655759
2019-12-07 00:50:00,49.05729813869789
2019-12-07 00:51:00,51.13384094626235
2019-12-07 00:52:00,51.119907676910465
2019-12-07 00:53:00,52.244135271268256
2019-12-07 00:54:00,54.50106026900069
2019-12-07 00:55:00,56.01561918098464
2019-12-07 00:56:00,53.292211973645706
2019-12-07 00:57:00,58.49893948545396
2019-12-07 00:58:00,55.8407775081652
2019-12-07 00:59:00,54.22053703746993
2019-12-07 01:00:00,54.23640322103397
2019-12-07 01:01:00,56.03727789897612
2019-12-07 01:02:00,56.47568924384724
2019-12-07 01:03:00,55.06043043059056
2019-12-07 01:04:00,51.72894120123836
2019-12-07 01:05:00,52.21158024458136
2019-12-07 01:06:00,55.14274443004176
2019-12-07 01:07:00,54.47241042664765
2019-12-07 01:08:00,54.30384287879958
2019-12-07 01:09:00,48.585618777882146
2019-12-07 01:10:00,46.86762339962657
2019-12-07 01:11:00,50.33218645233461
2019-12-07 01:12:00,47.93644572989439
2019-12-07 01:13:00,46.18823071048716
